id,name,japanese_name,classfication,generation,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,abilities,height_m,weight_kg,base_egg_steps,base_happiness,base_total,capture_rate,experience_growth,percentage_male,is_legendary,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,image_url,pokedex_number
0190,Aipom,Eipamã‚¨ã‚¤ãƒ‘ãƒ,Long Tail PokÃ©mon,2,normal,,55,70,55,40,55,85,"['Run Away', 'Pickup', 'Skill Link']",0.8,11.5,5120,70,360,45,800000,50,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/190.png,190
0191,Sunkern,Himanutsãƒ’ãƒžãƒŠãƒƒãƒ„,Seed PokÃ©mon,2,grass,,30,30,30,30,30,30,"['Chlorophyll', 'Solar Power', 'Early Bird']",0.3,1.8,5120,70,180,235,1059860,50,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/191.png,191
0192,Sunflora,Kimawariã‚­ãƒžãƒ¯ãƒª,Sun PokÃ©mon,2,grass,,75,75,55,105,85,30,"['Chlorophyll', 'Solar Power', 'Early Bird']",0.8,8.5,5120,70,425,120,1059860,50,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/192.png,192
0193,Yanma,Yanyanmaãƒ¤ãƒ³ãƒ¤ãƒ³ãƒž,Clear Wing PokÃ©mon,2,bug,flying,65,65,45,75,45,95,"['Speed Boost', 'Compoundeyes', 'Frisk']",1.2,38,5120,70,390,75,1000000,50,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/193.png,193
0194,Wooper,Upahã‚¦ãƒ‘ãƒ¼,Water Fish PokÃ©mon,2,water,ground,55,45,45,25,25,15,"['Damp', 'Water Absorb', 'Unaware']",0.4,8.5,5120,70,210,255,1000000,50,0,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/194.png,194
0195,Quagsire,NuohãƒŒã‚ªãƒ¼,Water Fish PokÃ©mon,2,water,ground,95,85,85,65,65,35,"['Damp', 'Water Absorb', 'Unaware']",1.4,75,5120,70,430,90,1000000,50,0,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/195.png,195
0196,Espeon,Eifieã‚¨ãƒ¼ãƒ•ã‚£,Sun PokÃ©mon,2,psychic,,65,65,60,130,95,110,"['Synchronize', 'Magic Bounce']",0.9,26.5,8960,70,525,45,1000000,88.1,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/196.png,196
0197,Umbreon,Blackyãƒ–ãƒ©ãƒƒã‚­ãƒ¼,Moonlight PokÃ©mon,2,dark,,95,65,110,60,130,65,"['Synchronize', 'Inner Focus']",1,27,8960,35,525,45,1000000,88.1,0,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/197.png,197
0198,Murkrow,Yamikarasuãƒ¤ãƒŸã‚«ãƒ©ã‚¹,Darkness PokÃ©mon,2,dark,flying,60,85,42,85,42,91,"['Insomnia', 'Super Luck', 'Prankster']",0.5,2.1,5120,35,405,30,1059860,50,0,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/198.png,198
0199,Slowking,Yadokingãƒ¤ãƒ‰ã‚­ãƒ³ã‚°,Royal PokÃ©mon,2,water,psychic,95,75,80,100,110,30,"['Oblivious', 'Own Tempo', 'Regenerator']",2,79.5,5120,70,490,70,1000000,50,0,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/199.png,199
0200,Misdreavus,Mumaãƒ ã‚¦ãƒž,Screech PokÃ©mon,2,ghost,,60,60,60,85,85,85,['Levitate'],0.7,1,6400,35,435,45,800000,50,0,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/200.png,200
0201,Unown,Unknownã‚¢ãƒ³ãƒŽãƒ¼ãƒ³,Symbol PokÃ©mon,2,psychic,,48,72,48,72,48,48,['Levitate'],0.5,5,10240,70,336,225,1000000,,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/201.png,201
0202,Wobbuffet,Sonansã‚½ãƒ¼ãƒŠãƒ³ã‚¹,Patient PokÃ©mon,2,psychic,,190,33,58,33,58,33,"['Shadow Tag', 'Telepathy']",1.3,28.5,5120,70,405,45,1000000,50,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/202.png,202
0203,Girafarig,Kirinrikiã‚­ãƒªãƒ³ãƒªã‚­,Long Neck PokÃ©mon,2,normal,psychic,70,80,65,90,65,85,"['Inner Focus', 'Early Bird', 'Sap Sipper']",1.5,41.5,5120,70,455,60,1000000,50,0,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/203.png,203
0204,Pineco,Kunugidamaã‚¯ãƒŒã‚®ãƒ€ãƒž,Bagworm PokÃ©mon,2,bug,,50,65,90,35,35,15,"['Sturdy', 'Overcoat']",0.6,7.2,5120,70,290,190,1000000,50,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/204.png,204
0205,Forretress,Foretosãƒ•ã‚©ãƒ¬ãƒˆã‚¹,Bagworm PokÃ©mon,2,bug,steel,75,90,140,60,60,40,"['Sturdy', 'Overcoat']",1.2,125.8,5120,70,465,75,1000000,50,0,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/205.png,205
0206,Dunsparce,NokocchiãƒŽã‚³ãƒƒãƒ,Land Snake PokÃ©mon,2,normal,,100,70,70,65,65,45,"['Serene Grace', 'Run Away', 'Rattled']",1.5,14,5120,70,415,190,1000000,50,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/206.png,206
0207,Gligar,Gligerã‚°ãƒ©ã‚¤ã‚¬ãƒ¼,Flyscorpion PokÃ©mon,2,ground,flying,65,75,105,35,65,85,"['Hyper Cutter', 'Sand Veil', 'Immunity']",1.1,64.8,5120,70,430,60,1059860,50,0,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/207.png,207
0208,Steelix,Haganeilãƒã‚¬ãƒãƒ¼ãƒ«,Iron Snake PokÃ©mon,2,steel,ground,75,125,230,55,95,30,"['Rock Head', 'Sturdy', 'Sheer Force']",9.2,400,6400,70,610,25,1000000,50,0,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/208.png,208
0209,Snubbull,Buluãƒ–ãƒ«ãƒ¼,Fairy PokÃ©mon,2,fairy,,60,80,50,40,40,30,"['Intimidate', 'Run Away', 'Rattled']",0.6,7.8,5120,70,300,190,800000,24.6,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/209.png,209
0210,Granbull,Granbuluã‚°ãƒ©ãƒ³ãƒ–ãƒ«,Fairy PokÃ©mon,2,fairy,,90,120,75,60,60,45,"['Intimidate', 'Quick Feet', 'Rattled']",1.4,48.7,5120,70,450,75,800000,24.6,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/210.png,210
0211,Qwilfish,Harysenãƒãƒªãƒ¼ã‚»ãƒ³,Balloon PokÃ©mon,2,water,poison,65,95,85,55,55,85,"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,3.9,5120,70,440,45,1000000,50,0,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/211.png,211
0212,Scizor,Hassamãƒãƒƒã‚µãƒ,Pincer PokÃ©mon,2,bug,steel,70,150,140,65,100,75,"['Swarm', 'Technician', 'Light Metal']",1.8,118,6400,70,600,25,1000000,50,0,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/212.png,212
0213,Shuckle,Tsubotsuboãƒ„ãƒœãƒ„ãƒœ,Mold PokÃ©mon,2,bug,rock,20,10,230,10,230,5,"['Sturdy', 'Gluttony', 'Contrary']",0.6,20.5,5120,70,505,190,1059860,50,0,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/213.png,213
0214,Heracross,Heracrosãƒ˜ãƒ©ã‚¯ãƒ­ã‚¹,Singlehorn PokÃ©mon,2,bug,fighting,80,185,115,40,105,75,"['Swarm', 'Guts', 'Moxie']",1.5,54,6400,70,600,45,1250000,50,0,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/214.png,214
0215,Sneasel,Nyulaãƒ‹ãƒ¥ãƒ¼ãƒ©,Sharp Claw PokÃ©mon,2,dark,ice,55,95,55,35,75,115,"['Inner Focus', 'Keen Eye', 'Pickpocket']",0.9,28,5120,35,430,60,1059860,50,0,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/215.png,215
0216,Teddiursa,Himegumaãƒ’ãƒ¡ã‚°ãƒž,Little Bear PokÃ©mon,2,normal,,60,80,50,50,50,40,"['Pickup', 'Quick Feet', 'Honey Gather']",0.6,8.8,5120,70,330,120,1000000,50,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/216.png,216
0217,Ursaring,Ringumaãƒªãƒ³ã‚°ãƒž,Hibernator PokÃ©mon,2,normal,,90,130,75,75,75,55,"['Guts', 'Quick Feet', 'Unnerve']",1.8,125.8,5120,70,500,60,1000000,50,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/217.png,217
0218,Slugma,Magmagãƒžã‚°ãƒžãƒƒã‚°,Lava PokÃ©mon,2,fire,,40,40,40,70,40,20,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.7,35,5120,70,250,190,1000000,50,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/218.png,218
0219,Magcargo,Magcargotãƒžã‚°ã‚«ãƒ«ã‚´,Lava PokÃ©mon,2,fire,rock,60,50,120,90,80,30,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.8,55,5120,70,430,75,1000000,50,0,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,https://assets.pokemon.com/assets/cms2/img/pokedex/full/219.png,219
0220,Swinub,Urimooã‚¦ãƒªãƒ ãƒ¼,Pig PokÃ©mon,2,ice,ground,50,50,40,30,30,50,"['Oblivious', 'Snow Cloak', 'Thick Fat']",0.4,6.5,5120,70,250,225,1250000,50,0,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/220.png,220
0221,Piloswine,Inomooã‚¤ãƒŽãƒ ãƒ¼,Swine PokÃ©mon,2,ice,ground,100,100,80,60,60,50,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.1,55.8,5120,70,450,75,1250000,50,0,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/221.png,221
0222,Corsola,Sunnygoã‚µãƒ‹ãƒ¼ã‚´,Coral PokÃ©mon,2,water,rock,65,55,95,65,95,35,"['Hustle', 'Natural Cure', 'Regenerator']",0.6,5,5120,70,410,60,800000,24.6,0,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/222.png,222
0223,Remoraid,Teppouoãƒ†ãƒƒãƒã‚¦ã‚ª,Jet PokÃ©mon,2,water,,35,65,35,65,35,65,"['Hustle', 'Sniper', 'Moody']",0.6,12,5120,70,300,190,1000000,50,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/223.png,223
0224,Octillery,Okutankã‚ªã‚¯ã‚¿ãƒ³,Jet PokÃ©mon,2,water,,75,105,75,105,75,45,"['Suction Cups', 'Sniper', 'Moody']",0.9,28.5,5120,70,480,75,1000000,50,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/224.png,224
0225,Delibird,Delibirdãƒ‡ãƒªãƒãƒ¼ãƒ‰,Delivery PokÃ©mon,2,ice,flying,45,55,45,65,45,75,"['Vital Spirit', 'Hustle', 'Insomnia']",0.9,16,5120,70,330,45,800000,50,0,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/225.png,225
0226,Mantine,Mantainãƒžãƒ³ã‚¿ã‚¤ãƒ³,Kite PokÃ©mon,2,water,flying,85,40,70,80,140,70,"['Swift Swim', 'Water Absorb', 'Water Veil']",2.1,220,6400,70,485,25,1250000,50,0,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/226.png,226
0227,Skarmory,Airmdã‚¨ã‚¢ãƒ¼ãƒ ãƒ‰,Armor Bird PokÃ©mon,2,steel,flying,65,80,140,40,70,70,"['Keen Eye', 'Sturdy', 'Weak Armor']",1.7,50.5,6400,70,465,25,1250000,50,0,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/227.png,227
0228,Houndour,Delvilãƒ‡ãƒ«ãƒ“ãƒ«,Dark PokÃ©mon,2,dark,fire,45,60,30,80,50,65,"['Early Bird', 'Flash Fire', 'Unnerve']",0.6,10.8,5120,35,330,120,1250000,50,0,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/228.png,228
0229,Houndoom,Hellgarãƒ˜ãƒ«ã‚¬ãƒ¼,Dark PokÃ©mon,2,dark,fire,75,90,90,140,90,115,"['Early Bird', 'Flash Fire', 'Unnerve']",1.4,35,5120,35,600,45,1250000,50,0,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/229.png,229
0230,Kingdra,Kingdraã‚­ãƒ³ã‚°ãƒ‰ãƒ©,Dragon PokÃ©mon,2,water,dragon,75,95,95,95,95,85,"['Swift Swim', 'Sniper', 'Damp']",1.8,152,5120,70,540,45,1000000,50,0,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,https://assets.pokemon.com/assets/cms2/img/pokedex/full/230.png,230
0231,Phanpy,Gomazouã‚´ãƒžã‚¾ã‚¦,Long Nose PokÃ©mon,2,ground,,90,60,60,40,40,40,"['Pickup', 'Sand Veil']",0.5,33.5,5120,70,330,120,1000000,50,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/231.png,231
0232,Donphan,Donfanãƒ‰ãƒ³ãƒ•ã‚¡ãƒ³,Armor PokÃ©mon,2,ground,,90,120,120,60,60,50,"['Sturdy', 'Sand Veil']",1.1,120,5120,70,500,60,1000000,50,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/232.png,232
0233,Porygon2,Porygon2ãƒãƒªã‚´ãƒ³ï¼’,Virtual PokÃ©mon,2,normal,,85,80,90,105,95,60,"['Trace', 'Download', 'Analytic']",0.6,32.5,5120,70,515,45,1000000,,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/233.png,233
0234,Stantler,Odoshishiã‚ªãƒ‰ã‚·ã‚·,Big Horn PokÃ©mon,2,normal,,73,95,62,85,65,85,"['Intimidate', 'Frisk', 'Sap Sipper']",1.4,71.2,5120,70,465,45,1250000,50,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/234.png,234
0235,Smeargle,Dobleãƒ‰ãƒ¼ãƒ–ãƒ«,Painter PokÃ©mon,2,normal,,55,20,35,20,45,75,"['Own Tempo', 'Technician', 'Moody']",1.2,58,5120,70,250,45,800000,50,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/235.png,235
0236,Tyrogue,Balkieãƒãƒ«ã‚­ãƒ¼,Scuffle PokÃ©mon,2,fighting,,35,35,35,35,35,35,"['Guts', 'Steadfast', 'Vital Spirit']",0.7,21,6400,70,210,75,1000000,100,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/236.png,236
0237,Hitmontop,Kapoererã‚«ãƒã‚¨ãƒ©ãƒ¼,Handstand PokÃ©mon,2,fighting,,50,95,95,35,110,70,"['Intimidate', 'Technician', 'Steadfast']",1.4,48,6400,70,455,45,1000000,100,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/237.png,237
0238,Smoochum,Muchulãƒ ãƒãƒ¥ãƒ¼ãƒ«,Kiss PokÃ©mon,2,ice,psychic,45,30,15,85,65,65,"['Oblivious', 'Forewarn', 'Hydration']",0.4,6,6400,70,305,45,1000000,0,0,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/238.png,238
0239,Elekid,Elekidã‚¨ãƒ¬ã‚­ãƒƒãƒ‰,Electric PokÃ©mon,2,electric,,45,63,37,65,55,95,"['Static', 'Vital Spirit']",0.6,23.5,6400,70,360,45,1000000,75.4,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/239.png,239
0240,Magby,Bubyãƒ–ãƒ“ã‚£,Live Coal PokÃ©mon,2,fire,,45,75,37,70,55,83,"['Flame Body', 'Vital Spirit']",0.7,21.4,6400,70,365,45,1000000,75.4,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/240.png,240
0241,Miltank,MiltankãƒŸãƒ«ã‚¿ãƒ³ã‚¯,Milk Cow PokÃ©mon,2,normal,,95,80,105,40,70,100,"['Thick Fat', 'Scrappy', 'Sap Sipper']",1.2,75.5,5120,70,490,45,1250000,0,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/241.png,241
0242,Blissey,Happinasãƒãƒ”ãƒŠã‚¹,Happiness PokÃ©mon,2,normal,,255,10,10,75,135,55,"['Natural Cure', 'Serene Grace', 'Healer']",1.5,46.8,10240,140,540,30,800000,0,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/242.png,242
0243,Raikou,Raikouãƒ©ã‚¤ã‚³ã‚¦,Thunder PokÃ©mon,2,electric,,90,85,75,115,100,115,"['Pressure', 'Inner Focus']",1.9,178,20480,35,580,3,1250000,,1,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/243.png,243
0244,Entei,Enteiã‚¨ãƒ³ãƒ†ã‚¤,Volcano PokÃ©mon,2,fire,,115,115,85,90,75,100,"['Pressure', 'Inner Focus']",2.1,198,20480,35,580,3,1250000,,1,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/244.png,244
0245,Suicune,Suicuneã‚¹ã‚¤ã‚¯ãƒ³,Aurora PokÃ©mon,2,water,,100,75,115,90,115,85,"['Pressure', 'Inner Focus']",2,187,20480,35,580,3,1250000,,1,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/245.png,245
0246,Larvitar,Yogirasãƒ¨ãƒ¼ã‚®ãƒ©ã‚¹,Rock Skin PokÃ©mon,2,rock,ground,50,64,50,45,50,41,"['Guts', 'Sand Veil']",0.6,72,10240,35,300,45,1250000,50,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,https://assets.pokemon.com/assets/cms2/img/pokedex/full/246.png,246
0247,Pupitar,Sanagirasã‚µãƒŠã‚®ãƒ©ã‚¹,Hard Shell PokÃ©mon,2,rock,ground,70,84,70,65,70,51,['Shed Skin'],1.2,152,10240,35,410,45,1250000,50,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,https://assets.pokemon.com/assets/cms2/img/pokedex/full/247.png,247
0248,Tyranitar,Bangirasãƒãƒ³ã‚®ãƒ©ã‚¹,Armor PokÃ©mon,2,rock,dark,100,164,150,95,120,71,"['Sand Stream', 'Unnerve']",2,202,10240,35,700,45,1250000,50,0,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/248.png,248
0249,Lugia,Lugiaãƒ«ã‚®ã‚¢,Diving PokÃ©mon,2,psychic,flying,106,90,130,90,154,110,"['Pressure', 'Multiscale']",5.2,216,30720,0,680,3,1250000,,1,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/249.png,249
0250,Ho-Oh,Hououãƒ›ã‚¦ã‚ªã‚¦,Rainbow PokÃ©mon,2,fire,flying,106,130,90,110,154,90,"['Pressure', 'Regenerator']",3.8,199,30720,0,680,3,1250000,,1,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/250.png,250
0251,Celebi,Celebiã‚»ãƒ¬ãƒ“ã‚£,Time Travel PokÃ©mon,2,psychic,grass,100,100,100,100,100,100,['Natural Cure'],0.6,5,30720,100,600,45,1059860,,1,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/251.png,251
0252,Treecko,Kimoriã‚­ãƒ¢ãƒª,Wood Gecko PokÃ©mon,3,grass,,40,45,35,65,55,70,"['Overgrow', 'Unburden']",0.5,5,5120,70,310,45,1059860,88.1,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/252.png,252
0253,Grovyle,Juptileã‚¸ãƒ¥ãƒ—ãƒˆãƒ«,Wood Gecko PokÃ©mon,3,grass,,50,65,45,85,65,95,"['Overgrow', 'Unburden']",0.9,21.6,5120,70,405,45,1059860,88.1,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/253.png,253
0254,Sceptile,Jukainã‚¸ãƒ¥ã‚«ã‚¤ãƒ³,Forest PokÃ©mon,3,grass,,70,110,75,145,85,145,"['Overgrow', 'Unburden']",1.7,52.2,5120,70,630,45,1059860,88.1,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/254.png,254
0255,Torchic,Achamoã‚¢ãƒãƒ£ãƒ¢,Chick PokÃ©mon,3,fire,,45,60,40,70,50,45,"['Blaze', 'Speed Boost']",0.4,2.5,5120,70,310,45,1059860,88.1,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/255.png,255
0256,Combusken,Wakasyamoãƒ¯ã‚«ã‚·ãƒ£ãƒ¢,Young Fowl PokÃ©mon,3,fire,fighting,60,85,60,85,60,55,"['Blaze', 'Speed Boost']",0.9,19.5,5120,70,405,45,1059860,88.1,0,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/256.png,256
0257,Blaziken,Bursyamoãƒã‚·ãƒ£ãƒ¼ãƒ¢,Blaze PokÃ©mon,3,fire,fighting,80,160,80,130,80,100,"['Blaze', 'Speed Boost']",1.9,52,5120,70,630,45,1059860,88.1,0,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/257.png,257
0258,Mudkip,MizugorouãƒŸã‚ºã‚´ãƒ­ã‚¦,Mud Fish PokÃ©mon,3,water,,50,70,50,50,50,40,"['Torrent', 'Damp']",0.4,7.6,5120,70,310,45,1059860,88.1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/258.png,258
0259,Marshtomp,NumacrawãƒŒãƒžã‚¯ãƒ­ãƒ¼,Mud Fish PokÃ©mon,3,water,ground,70,85,70,60,70,50,"['Torrent', 'Damp']",0.7,28,5120,70,405,45,1059860,88.1,0,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/259.png,259
0260,Swampert,Laglargeãƒ©ã‚°ãƒ©ãƒ¼ã‚¸,Mud Fish PokÃ©mon,3,water,ground,100,150,110,95,110,70,"['Torrent', 'Damp']",1.5,81.9,5120,70,635,45,1059860,88.1,0,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/260.png,260
